"DATE","DESCRIPTION","TYPE OF MOVEMENT","VALUE"
"06/04/2026 15:20:10","inicio","INCOME","50000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","Loan","EXPENSE","20000.0"
"06/04/2026 15:20:10","fin","EXPENSE","20000.0"
"06/04/2026 15:21:18","inicio","INCOME","50000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:18","fin","EXPENSE","20000.0"
"06/04/2026 15:21:58","inicio","INCOME","50000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","Loan","EXPENSE","20000.0"
"06/04/2026 15:21:58","fin","EXPENSE","20000.0"
"06/04/2026 15:22:26","inicio","INCOME","50000.0"
"06/04/2026 15:22:26","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:26","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","Loan","EXPENSE","20000.0"
"06/04/2026 15:22:27","fin","EXPENSE","20000.0"
"06/04/2026 15:23:45","hjj","INCOME","777.0"
"06/04/2026 15:30:31","inicio","INCOME","50000.0"
"06/04/2026 15:30:31","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:31","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:31","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","Loan","EXPENSE","20000.0"
"06/04/2026 15:30:32","fin","EXPENSE","20000.0"
"06/04/2026 15:34:00","inicio","INCOME","50000.0"
"06/04/2026 15:34:00","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
"06/04/2026 15:34:01","Loan","EXPENSE","20000.0"
