"DESCRIPTION","ID","PRICE","UNITOFMEASURE"
"AREPA","26","1800.0","POUND"
"SUGAR","25","1800.0","POUND"
"SUGAR","24","1800.0","POUND"
"SUGAR","23","1800.0","POUND"
"SUGAR","22","1800.0","POUND"
"SUGAR","21","1800.0","POUND"
"SUGAR","20","1800.0","POUND"
"RICE","19","2500.0","KILO"
"RICE","18","2500.0","KILO"
"RICE","17","2500.0","KILO"
"RICE","16","2500.0","KILO"
"RICE","15","2500.0","KILO"
"RICE","14","2500.0","KILO"
"RICE","13","2500.0","KILO"
"RICE","12","2500.0","KILO"
"RICE","11","2500.0","KILO"
"RICE","10","2500.0","KILO"
"RICE","9","2500.0","KILO"
"RICE","8","2500.0","KILO"
"RICE","7","2500.0","KILO"
"RICE","6","2500.0","KILO"
"RICE","5","2500.0","KILO"
"RICE","4","2500.0","KILO"
"RICE","3","2500.0","KILO"
"RICE","2","2500.0","KILO"
"RICE","1","2500.0","KILO"
"RICE","0","2500.0","KILO"
